"Dim1","Dim2","Dim3","Val"
"inv_converter_costs","p5","2036",481296.62918214
"inv_converter_costs","p5","2042",19432914.268778
"inv_converter_costs","p5","2044",122556600.761501
"inv_converter_costs","p5","2046",107484503.513063
"inv_converter_costs","p5","2048",13994394.9971387
"inv_converter_costs","p5","2050",53103311.4222614
"inv_converter_costs","p10","2026",150333.185533482
"inv_converter_costs","p10","2028",7279595.53662841
"inv_converter_costs","p10","2030",4227575.79821544
"inv_converter_costs","p10","2036",78844.2311877449
"inv_converter_costs","p10","2042",32.8499032920111
"inv_converter_costs","p10","2044",290854.335748408
"inv_converter_costs","p10","2046",2515379.43040019
"inv_converter_costs","p10","2048",1883854.50093578
"inv_converter_costs","p10","2050",1151506.18031825
"inv_investment_capacity_costs","p1","2012",8898336.143962
"inv_investment_capacity_costs","p1","2014",57243187.3988125
"inv_investment_capacity_costs","p1","2016",10825451.94
"inv_investment_capacity_costs","p1","2018",14648948.3770726
"inv_investment_capacity_costs","p1","2020",646645.186278
"inv_investment_capacity_costs","p1","2022",14623242.359
"inv_investment_capacity_costs","p1","2026",219965839.746315
"inv_investment_capacity_costs","p1","2028",13976911.4532959
"inv_investment_capacity_costs","p1","2030",3646793.01030241
"inv_investment_capacity_costs","p1","2032",6525204.21888849
"inv_investment_capacity_costs","p1","2034",25010638.0402466
"inv_investment_capacity_costs","p1","2036",41385411.9070812
"inv_investment_capacity_costs","p1","2038",32361309.3069165
"inv_investment_capacity_costs","p1","2040",616369405.781485
"inv_investment_capacity_costs","p1","2042",1121298260.96996
"inv_investment_capacity_costs","p1","2044",1109387763.19784
"inv_investment_capacity_costs","p1","2046",1115977423.79832
"inv_investment_capacity_costs","p1","2048",1134451982.64797
"inv_investment_capacity_costs","p1","2050",711573064.172715
"inv_investment_capacity_costs","p2","2012",37764627.082
"inv_investment_capacity_costs","p2","2014",3433842.12141552
"inv_investment_capacity_costs","p2","2022",136853694.12
"inv_investment_capacity_costs","p2","2024",9686752.24892006
"inv_investment_capacity_costs","p2","2026",129522540.555866
"inv_investment_capacity_costs","p2","2028",49610139.9130264
"inv_investment_capacity_costs","p2","2030",1458342119.46224
"inv_investment_capacity_costs","p2","2032",1956982.3719265
"inv_investment_capacity_costs","p2","2034",38744386.2462883
"inv_investment_capacity_costs","p2","2036",4938854.63877592
"inv_investment_capacity_costs","p2","2038",2092117.46683333
"inv_investment_capacity_costs","p2","2040",1965891.504525
"inv_investment_capacity_costs","p2","2042",110111868.290914
"inv_investment_capacity_costs","p2","2046",301652023.5317
"inv_investment_capacity_costs","p2","2048",1333100421.90516
"inv_investment_capacity_costs","p2","2050",1271668269.06916
"inv_investment_capacity_costs","p3","2014",6416680.6944
"inv_investment_capacity_costs","p3","2018",20500216.464
"inv_investment_capacity_costs","p3","2028",22602933.6821735
"inv_investment_capacity_costs","p3","2034",2275683.91111333
"inv_investment_capacity_costs","p3","2038",19891740.9867091
"inv_investment_capacity_costs","p3","2040",128549035.785003
"inv_investment_capacity_costs","p3","2042",101428223.199694
"inv_investment_capacity_costs","p3","2046",204117095.045323
"inv_investment_capacity_costs","p3","2050",71509727.3812408
"inv_investment_capacity_costs","p4","2012",329205565.270219
"inv_investment_capacity_costs","p4","2014",219366557.000471
"inv_investment_capacity_costs","p4","2016",219307045.205707
"inv_investment_capacity_costs","p4","2018",202371916.387399
"inv_investment_capacity_costs","p4","2020",101078092.259446
"inv_investment_capacity_costs","p4","2026",191232063.408721
"inv_investment_capacity_costs","p4","2038",16747841.7617775
"inv_investment_capacity_costs","p5","2010",10453216.702779
"inv_investment_capacity_costs","p5","2012",46362764.4900752
"inv_investment_capacity_costs","p5","2014",212253494.679879
"inv_investment_capacity_costs","p5","2016",488527202.602643
"inv_investment_capacity_costs","p5","2018",154834522.761428
"inv_investment_capacity_costs","p5","2020",102853250.008072
"inv_investment_capacity_costs","p5","2022",792481061.385739
"inv_investment_capacity_costs","p5","2026",225111524.915141
"inv_investment_capacity_costs","p5","2028",42150470.4290644
"inv_investment_capacity_costs","p5","2030",147605988.305446
"inv_investment_capacity_costs","p5","2032",52848969.0621428
"inv_investment_capacity_costs","p5","2034",32710919.8995997
"inv_investment_capacity_costs","p5","2036",36302443.1967249
"inv_investment_capacity_costs","p5","2038",386866975.756539
"inv_investment_capacity_costs","p5","2040",501867307.756702
"inv_investment_capacity_costs","p5","2042",912326641.1703
"inv_investment_capacity_costs","p5","2044",63131469.3889771
"inv_investment_capacity_costs","p5","2048",14959356.8724439
"inv_investment_capacity_costs","p5","2050",59157763.8205193
"inv_investment_capacity_costs","p6","2012",4114874.44875759
"inv_investment_capacity_costs","p6","2014",5972280.962076
"inv_investment_capacity_costs","p6","2016",10089546.1875
"inv_investment_capacity_costs","p6","2018",77159337.055203
"inv_investment_capacity_costs","p6","2020",16277846.52312
"inv_investment_capacity_costs","p6","2022",1121257.34875
"inv_investment_capacity_costs","p6","2024",48365.5153618
"inv_investment_capacity_costs","p6","2026",175041.656748
"inv_investment_capacity_costs","p6","2028",1259726.77516393
"inv_investment_capacity_costs","p6","2030",27649633.3940726
"inv_investment_capacity_costs","p6","2032",188772.123078
"inv_investment_capacity_costs","p6","2034",11350331.334878
"inv_investment_capacity_costs","p6","2036",112060.439199799
"inv_investment_capacity_costs","p6","2038",1578205.92703359
"inv_investment_capacity_costs","p6","2040",487812.81108
"inv_investment_capacity_costs","p6","2042",1602949.00522521
"inv_investment_capacity_costs","p6","2046",421204.241227352
"inv_investment_capacity_costs","p6","2048",3390230.79770193
"inv_investment_capacity_costs","p6","2050",13074924.4544478
"inv_investment_capacity_costs","p7","2012",138104668.716067
"inv_investment_capacity_costs","p7","2016",124240148.341731
"inv_investment_capacity_costs","p7","2018",10950700.605
"inv_investment_capacity_costs","p7","2020",167430475.38803
"inv_investment_capacity_costs","p7","2022",44783833.4944
"inv_investment_capacity_costs","p7","2024",2466501.97620264
"inv_investment_capacity_costs","p7","2026",23748556.6625062
"inv_investment_capacity_costs","p7","2028",1316127.03490088
"inv_investment_capacity_costs","p7","2030",523165.686404864
"inv_investment_capacity_costs","p7","2032",498203.813019787
"inv_investment_capacity_costs","p7","2034",423262848.229881
"inv_investment_capacity_costs","p7","2036",1523557859.85382
"inv_investment_capacity_costs","p7","2038",952615070.334517
"inv_investment_capacity_costs","p7","2040",592271755.483932
"inv_investment_capacity_costs","p7","2042",921846532.446321
"inv_investment_capacity_costs","p7","2044",269063131.889964
"inv_investment_capacity_costs","p7","2046",167033411.797523
"inv_investment_capacity_costs","p7","2048",151226654.724485
"inv_investment_capacity_costs","p7","2050",990958592.761188
"inv_investment_capacity_costs","p8","2010",4551499.4
"inv_investment_capacity_costs","p8","2018",3624827.068044
"inv_investment_capacity_costs","p8","2020",8132645.43
"inv_investment_capacity_costs","p8","2024",34910515.3046018
"inv_investment_capacity_costs","p8","2026",791612.276144299
"inv_investment_capacity_costs","p8","2028",57052037.8739662
"inv_investment_capacity_costs","p8","2030",138363990.836692
"inv_investment_capacity_costs","p8","2034",19213073.5996051
"inv_investment_capacity_costs","p8","2036",1125926.80114502
